Species,Mig,Cavity,Clutch,Size
Monticola_gularis,1,1,8,19
Myrmecocichla_aethiops,0,1,5,19
Alethe_fuelleborni,0,0,3,20
Copsychus_sechellarum,0,1,1,20
Cossypha_dichroa,0,1,3,20
Cossypha_heuglini,0,1,3,20
Enicurus_ruficapillus,0,1,2,20
Melaenornis_edolioides,0,0,3,20
Myrmecocichla_melaena,0,1,3,20
Oenanthe_monticola,0,1,4,20
Copsychus_saularis,0,1,5,21
Melaenornis_pammelaina,0,1,4,21
Thamnolaea_cinnamomeiventris,0,1,4,21
Cossypha_niveicapilla,0,1,3,22
Monticola_rupestris,0,1,4,22
Niltava_grandis,0,1,3,22
Monticola_rufiventris,1,1,6,23
Monticola_solitarius,1,1,6,23
Enicurus_immaculatus,0,1,3,25
Enicurus_schistaceus,0,1,5,25
Enicurus_maculatus,0,1,4,26
Myophonus_glaucinus,0,1,2,26.5
Cercotrichas_podobe,0,1,4,27
Cossypha_albicapillus,0,1,2,27
Copsychus_malabaricus,0,1,4,28
Enicurus_leschenaulti,0,1,5,28
Myophonus_caeruleus,0,1,5,35
